School.List,State,Year,FT.BIPOC,FT.White,FT.Total,fac_percent_bipoc,fac_percent_white,fac_year_change
AMERICAN UNIVERSITY,DISTRICT OF COLUMBIA,2020,60,236,296,20.27027027,79.72972973,0.2066
AMERICAN UNIVERSITY,DISTRICT OF COLUMBIA,2021,64,226,290,22.06896552,77.93103448,1.7987
AMERICAN UNIVERSITY,DISTRICT OF COLUMBIA,2022,53,206,259,20.46332046,79.53667954,-1.6056
AMERICAN UNIVERSITY,DISTRICT OF COLUMBIA,2023,78,215,293,26.62116041,73.37883959,6.1578
APPALACHIAN SCHOOL OF LAW,VIRGINIA,2017,1,19,20,5,95,NA
APPALACHIAN SCHOOL OF LAW,VIRGINIA,2018,2,19,21,9.523809524,90.47619048,4.5238
APPALACHIAN SCHOOL OF LAW,VIRGINIA,2019,2,21,23,8.695652174,91.30434783,-0.8282
APPALACHIAN SCHOOL OF LAW,VIRGINIA,2020,2,24,26,7.692307692,92.30769231,-1.0033
APPALACHIAN SCHOOL OF LAW,VIRGINIA,2021,3,24,27,11.11111111,88.88888889,3.4188
APPALACHIAN SCHOOL OF LAW,VIRGINIA,2022,2,22,24,8.333333333,91.66666667,-2.7778
APPALACHIAN SCHOOL OF LAW,VIRGINIA,2023,3,22,25,12,88,3.6667
ARIZONA STATE UNIVERSITY,ARIZONA,2017,25,159,184,13.58695652,86.41304348,NA
